event,event_date,category,expected_miss,v1_max,v2_max
GFC Lehman Collapse,2008-09-15,SYSTEMIC,False,NORMAL,NORMAL
Dot-com Peak,2000-03-10,CONTAGION,False,CAUTION,NORMAL
9/11 Market Reopening,2001-09-17,SUDDEN,True,EXTREME,EXTREME
Eurozone Crisis / S&P Downgrade,2011-08-08,SYSTEMIC,False,EXTREME,EXTREME
Flash Crash 2010,2010-05-06,SUDDEN,True,CAUTION,CAUTION
China Devaluation 2015,2015-08-11,CONTAGION,False,CAUTION,NORMAL
Flash Crash 2015 (ETF),2015-08-24,SUDDEN,True,NORMAL,NORMAL
Volmageddon (XIV Collapse),2018-02-05,SYSTEMIC,False,CAUTION,CAUTION
Q4 2018 Fed Rate Selloff,2018-12-24,SYSTEMIC,False,EXTREME,SPIKE
Repo Market Stress 2019,2019-09-17,SUDDEN,True,EXTREME,EXTREME
COVID Crash 2020,2020-02-24,SYSTEMIC,False,EXTREME,EXTREME
Russia Invades Ukraine,2022-02-24,SUDDEN,True,EXTREME,SPIKE
2022 Fed Rate Shock,2022-01-18,SYSTEMIC,False,CAUTION,NORMAL
SVB Collapse,2023-03-10,CONTAGION,False,CAUTION,CAUTION
Yen Carry Unwind 2024,2024-08-05,SUDDEN,True,CAUTION,CAUTION
Apr 2025 Tariff Shock,2025-04-07,SYSTEMIC,False,NORMAL,NORMAL
