event,event_date,category,expected_miss,v1_max,v2_max,v3_max,v1_result,v2_result,v3_result,v2_better_than_v1
GFC Lehman Collapse,2008-09-15,SYSTEMIC,False,NORMAL,NORMAL,NORMAL,FAIL,FAIL,FAIL,False
Dot-com Peak,2000-03-10,CONTAGION,False,CAUTION,NORMAL,SPIKE,PASS,FAIL,PASS,False
9/11 Market Reopening,2001-09-17,SUDDEN,True,EXTREME,EXTREME,SPIKE,EXPECTED_MISS,EXPECTED_MISS,EXPECTED_MISS,
Eurozone Crisis / S&P Downgrade,2011-08-08,SYSTEMIC,False,EXTREME,EXTREME,SPIKE,PASS,PASS,PASS,False
Flash Crash 2010,2010-05-06,SUDDEN,True,CAUTION,CAUTION,NORMAL,EXPECTED_MISS,EXPECTED_MISS,EXPECTED_MISS,
China Devaluation & Flash Crash 2015,2015-08-11,CONTAGION,False,CAUTION,NORMAL,SPIKE,PASS,FAIL,PASS,False
Flash Crash 2015 (ETF),2015-08-24,SUDDEN,True,NORMAL,NORMAL,NORMAL,EXPECTED_MISS,EXPECTED_MISS,EXPECTED_MISS,
Volmageddon (XIV Collapse),2018-02-05,SYSTEMIC,False,CAUTION,CAUTION,NORMAL,PASS,PASS,FAIL,False
Q4 2018 Fed Rate Selloff,2018-12-24,SYSTEMIC,False,EXTREME,SPIKE,SPIKE,PASS,PASS,PASS,False
Repo Market Stress 2019,2019-09-17,SUDDEN,True,EXTREME,EXTREME,SPIKE,EXPECTED_MISS,EXPECTED_MISS,EXPECTED_MISS,
COVID Crash 2020,2020-02-24,SYSTEMIC,False,EXTREME,EXTREME,SPIKE,PASS,PASS,PASS,False
Russia Invades Ukraine,2022-02-24,SUDDEN,True,EXTREME,SPIKE,SPIKE,EXPECTED_MISS,EXPECTED_MISS,EXPECTED_MISS,
2022 Fed Rate Shock,2022-01-18,SYSTEMIC,False,CAUTION,NORMAL,SPIKE,PASS,FAIL,PASS,False
SVB Collapse / Regional Bank Crisis,2023-03-10,CONTAGION,False,CAUTION,CAUTION,NORMAL,PASS,PASS,FAIL,False
Yen Carry Unwind 2024,2024-08-05,SUDDEN,True,CAUTION,CAUTION,SPIKE,EXPECTED_MISS,EXPECTED_MISS,EXPECTED_MISS,
